PLZ,Ort,Wohnung_Min,Wohnung_Durchschnitt,Wohnung_Max,Haus_Min,Haus_Durchschnitt,Haus_Max
1966,Saxonne (Ayent),2401,4857,12501,3148,6227,13923
1966,Villa (Ayent),2400,4854,12493,2456,4858,10862
1966,La Place (Ayent),2528,5112,13159,2950,5834,13045
1966,Botyre (Ayent),2440,4935,12704,2944,5823,13020
1966,Blignou (Ayent),2558,5173,13315,3029,5990,13393
1966,Argnou (Ayent),2551,5158,13278,3128,6186,13832
1966,Signèse (Ayent),2845,5753,14809,2922,5778,12920
1967,Bramois,3042,6152,15835,3182,6293,14070
1968,Mase,2182,4413,11360,3347,6619,14800
1969,St-Martin VS,2182,4412,11358,2980,5893,13176
1969,Liez (St-Martin),2112,4272,10997,3445,6813,15235
1969,Trogne (St-Martin),2126,4301,11070,2874,5683,12708
1969,Suen (St-Martin),1927,3898,10033,3034,6000,13416
1969,Eison (St-Martin),2057,4160,10707,3641,7202,16103
1971,Grimisuat,2910,5885,15149,3364,6654,14878
1971,Champlan (Grimisuat),2779,5620,14465,3347,6619,14799
1972,Anzère,3094,6257,16107,3528,6977,15601
1973,Nax,2437,4929,12687,3148,6225,13919
1974,Arbaz,2733,5527,14227,3618,7156,16001
1975,St-Séverin,2783,5628,14487,2698,5336,11932
1976,Erde,2387,4828,12427,2756,5451,12189
1976,Aven,2967,6000,15444,2563,5070,11336
1976,Daillon,2655,5370,13823,2545,5033,11254
1977,Icogne,4391,8880,22858,4475,8851,19789
1978,Lens,3185,6441,16579,4177,8260,18470
1981,Vex,2219,4487,11550,3061,6054,13535
1982,Euseigne,2266,4584,11798,2842,5621,12569
1983,Evolène,2758,5579,14360,3306,6539,14622
1983,Lanna,2870,5804,14939,3162,6253,13981
1984,Les Haudères,2577,5211,13414,3496,6915,15462
1984,La Tour VS,2706,5474,14089,3301,6528,14597
1985,La Sage,2586,5230,13462,3444,6811,15229
1985,La Forclaz VS,2586,5231,13464,3834,7584,16957
1985,Villa (Evolène),2716,5494,14141,3181,6292,14068
1986,Arolla,2580,5217,13429,3224,6376,14256
